Year:text,All common birds (unsmoothed trend):number,All common birds (168 species):number,Lower CL all birds:number,Upper CL all birds:number,Common farmland birds (unsmoothed trend):number,Common farmland birds (39 species):number,Lower CL farmland:number,Upper CL farmland:number,Common forest birds (unsmoothed trend):number,Common forest birds (34 species):number,Lower CL forest:number,Upper CL forest:number,Baseline:number,Dashboard:text
1990,104.88,100,98.27,102.28,98.78,100,94.42,106.46,109.92,100,96.02,104.02,100,Europe
1991,105.14,99.72,98.27,101.26,95.38,96.66,90.72,102.29,116.07,100.04,96.02,104.02,100,Europe
1992,102.26,99.55,97.29,101.26,94.51,93.86,88.92,99.26,106.52,100,96.02,104.02,100,Europe
1993,106.07,99.55,97.29,101.26,102.31,91.48,86.29,97.3,101.09,100,96.02,104.02,100,Europe
1994,107.11,99.63,98.27,101.26,99.43,89.41,84.59,94.42,106.42,99.99,96.02,104.02,100,Europe
1995,98.9,99.73,98.27,101.26,85.99,87.56,82.91,92.55,95.9,99.96,96.02,104.02,100,Europe
1996,99.09,99.78,98.27,101.26,84.01,85.82,80.46,90.72,97.89,99.87,96.02,104.02,100,Europe
1997,98.74,99.7,97.29,101.26,84.76,84.11,78.87,89.82,103.5,99.7,96.02,104.02,100,Europe
1998,94.97,99.41,97.29,101.26,79.38,82.37,77.31,88.04,93.9,99.41,95.07,104.02,100,Europe
1999,96.72,98.9,97.29,101.26,81.06,80.59,75.78,85.44,95.11,98.92,95.07,102.98,100,Europe
2000,95.3,98.23,96.32,100.25,78.03,78.87,74.27,83.74,92.95,98.22,94.12,101.96,100,Europe
2001,97.73,97.47,95.36,99.25,78.15,77.24,72.8,82.09,94.28,97.43,94.12,100.94,100,Europe
2002,96.78,96.72,94.41,98.27,73.13,75.71,71.36,80.46,95.99,96.69,93.18,99.94,100,Europe
2003,95.84,96.01,94.41,98.27,73.15,74.32,69.95,78.87,98.1,96.08,92.26,99.94,100,Europe
2004,98.35,95.46,93.47,97.29,74.26,73.07,68.56,78.08,100.83,95.72,92.26,98.95,100,Europe
2005,93.68,94.96,93.47,96.32,72.84,71.95,67.88,76.54,94.4,95.53,92.26,98.95,100,Europe
2006,91.96,94.46,92.54,96.32,71.43,70.91,66.54,75.02,92.83,95.35,92.26,98.95,100,Europe
2007,94.21,93.94,92.54,95.36,68.66,69.94,65.88,74.27,91.34,95.2,92.26,98.95,100,Europe
2008,94.8,93.43,91.62,95.36,69.21,69.07,65.22,73.54,96.79,95.08,92.26,97.96,100,Europe
2009,88.52,92.93,91.62,94.41,66.49,68.28,64.57,72.8,88.47,95.03,92.26,97.96,100,Europe
2010,89.07,92.45,90.71,94.41,65.28,67.57,63.29,72.08,91.32,95.05,91.34,97.96,100,Europe
2011,90.65,92,89.81,93.47,67.34,66.95,62.66,71.36,90.72,95.16,91.34,98.95,100,Europe
2012,90.57,91.59,89.81,93.47,66.75,66.42,62.04,71.36,96.76,95.36,91.34,98.95,100,Europe
2013,88.58,91.19,88.91,93.47,64.52,65.97,60.81,71.36,93.99,95.65,91.34,99.94,100,Europe
2014,90.36,90.82,88.03,93.47,65.26,65.59,60.21,72.08,95.91,96,91.34,100.94,100,Europe
2015,91.99,90.47,88.03,93.47,66.36,65.29,59.01,72.08,98.12,96.44,91.34,101.96,100,Europe
2016,91.51,90.12,87.15,93.47,66.79,65.07,57.85,72.8,98.04,96.92,90.43,102.98,100,Europe
2017,93.64,89.78,86.29,93.47,65.08,64.91,56.7,74.27,102.8,97.47,90.43,105.06,100,Europe
1990,105.09,100,98.46,102.48,99.54,100,94.2,106.2,109.92,100,96.02,104.02,100,EU
1991,103.04,99.55,97.48,101.46,95.2,96.62,90.5,103.07,110.5,99.96,96.02,104.02,100,EU
1992,102.47,99.26,97.48,101.46,98.33,93.95,88.71,100.02,106.29,99.83,96.02,104.02,100,EU
1993,103.79,99.14,97.48,101.46,96.68,91.88,86.95,97.06,98.76,99.71,96.02,104.02,100,EU
1994,103.61,99.11,97.48,101.46,95.6,90.21,85.23,96.1,102.78,99.58,96.02,102.98,100,EU
1995,97.96,99.13,97.48,101.46,86.61,88.79,83.54,94.2,96.92,99.43,96.02,102.98,100,EU
1996,99.95,99.12,97.48,101.46,88.4,87.48,81.89,93.26,100.17,99.24,95.07,102.98,100,EU
1997,98.32,99.01,97.48,101.46,89.24,86.11,81.07,91.41,104.22,99.02,95.07,102.98,100,EU
1998,94.25,98.75,96.51,100.45,82.03,84.56,79.47,90.5,94.84,98.75,95.07,102.98,100,EU
1999,95.23,98.31,96.51,100.45,83.86,82.9,77.9,88.71,92.56,98.34,94.12,101.96,100,EU
2000,94.93,97.77,95.55,99.45,81.06,81.29,76.35,86.95,91.47,97.78,94.12,101.96,100,EU
2001,98.85,97.17,95.55,99.45,84.41,79.75,74.84,85.23,93.94,97.17,93.18,100.94,100,EU
2002,96.59,96.58,94.6,98.46,76.14,78.29,73.36,83.54,95.07,96.6,93.18,99.94,100,EU
2003,95.15,96.04,94.6,98.46,72.67,76.95,71.91,81.89,97.16,96.17,92.26,99.94,100,EU
2004,99.1,95.6,93.66,97.48,77.96,75.74,71.19,81.07,100.83,95.95,92.26,99.94,100,EU
2005,94.5,95.23,93.66,97.48,74.96,74.62,69.78,79.47,95.91,95.89,92.26,98.95,100,EU
2006,93.56,94.86,92.73,96.51,74.45,73.58,69.09,77.9,94.85,95.86,92.26,98.95,100,EU
2007,95.18,94.48,92.73,96.51,71.07,72.61,68.4,77.12,93.09,95.86,92.26,98.95,100,EU
2008,95.84,94.1,92.73,95.55,71.84,71.71,67.72,76.35,98.27,95.91,92.26,98.95,100,EU
2009,89.58,93.75,91.81,95.55,68.75,70.89,66.38,75.59,90.1,96.03,93.18,98.95,100,EU
2010,90.45,93.42,91.81,95.55,67.4,70.13,65.72,74.84,93.23,96.23,93.18,99.94,100,EU
2011,92.17,93.12,90.89,94.6,69.42,69.45,65.06,74.1,92.39,96.52,93.18,99.94,100,EU
2012,92.16,92.85,90.89,94.6,68.92,68.84,63.78,74.1,97.93,96.92,93.18,100.94,100,EU
2013,90.28,92.6,89.99,94.6,66.84,68.3,62.51,74.1,95.49,97.39,93.18,101.96,100,EU
2014,91.93,92.38,89.99,94.6,67.79,67.83,61.89,74.84,97.88,97.96,93.18,102.98,100,EU
2015,93.52,92.17,89.09,95.55,68.79,67.42,60.67,74.84,100.5,98.6,93.18,104.02,100,EU
2016,92.69,91.98,88.21,95.55,69.16,67.07,59.46,75.59,99.7,99.31,93.18,106.12,100,EU
2017,94.98,91.8,88.21,95.55,66.81,66.78,58.29,77.12,104.86,100.1,93.18,108.26,100,EU
